freq_GHz,S21_real,S21_imag,S21_mag,S31_real,S31_imag,S31_mag
2.822908708699999991e+00,-2.390944217099999847e+01,0.000000000000000000e+00,2.390944217099999847e+01,-1.806882532899999916e+01,0.000000000000000000e+00,1.806882532899999916e+01
2.842928628599999730e+00,-2.401231042499999901e+01,0.000000000000000000e+00,2.401231042499999901e+01,-1.793424252699999855e+01,0.000000000000000000e+00,1.793424252699999855e+01
2.862948548499999912e+00,-2.360119155299999960e+01,0.000000000000000000e+00,2.360119155299999960e+01,-1.766369152100000051e+01,0.000000000000000000e+00,1.766369152100000051e+01
2.882968468500000103e+00,-2.336157988000000074e+01,0.000000000000000000e+00,2.336157988000000074e+01,-1.737884071199999880e+01,0.000000000000000000e+00,1.737884071199999880e+01
2.902988388400000286e+00,-2.293530314599999897e+01,0.000000000000000000e+00,2.293530314599999897e+01,-1.703864374500000167e+01,0.000000000000000000e+00,1.703864374500000167e+01
2.923008308300000024e+00,-2.245059691599999852e+01,0.000000000000000000e+00,2.245059691599999852e+01,-1.680692574100000058e+01,0.000000000000000000e+00,1.680692574100000058e+01
2.943028228199999763e+00,-2.184283777999999998e+01,0.000000000000000000e+00,2.184283777999999998e+01,-1.647811005799999862e+01,0.000000000000000000e+00,1.647811005799999862e+01
2.963048148099999946e+00,-2.148228389999999877e+01,0.000000000000000000e+00,2.148228389999999877e+01,-1.630957263199999829e+01,0.000000000000000000e+00,1.630957263199999829e+01
2.983068068099999692e+00,-2.073571081600000099e+01,0.000000000000000000e+00,2.073571081600000099e+01,-1.610098975000000010e+01,0.000000000000000000e+00,1.610098975000000010e+01
3.003087987999999875e+00,-2.001718805999999873e+01,0.000000000000000000e+00,2.001718805999999873e+01,-1.576346837300000026e+01,0.000000000000000000e+00,1.576346837300000026e+01
3.023107907900000058e+00,-1.984472121299999969e+01,0.000000000000000000e+00,1.984472121299999969e+01,-1.549045905600000061e+01,0.000000000000000000e+00,1.549045905600000061e+01
3.043127827800000240e+00,-1.972268936400000072e+01,0.000000000000000000e+00,1.972268936400000072e+01,-1.550712567899999961e+01,0.000000000000000000e+00,1.550712567899999961e+01
3.063147747699999979e+00,-1.941545612099999829e+01,0.000000000000000000e+00,1.941545612099999829e+01,-1.539057174400000072e+01,0.000000000000000000e+00,1.539057174400000072e+01
3.083167667699999726e+00,-1.920162178100000006e+01,0.000000000000000000e+00,1.920162178100000006e+01,-1.545824454999999986e+01,0.000000000000000000e+00,1.545824454999999986e+01
3.103187587599999908e+00,-1.921416791300000071e+01,0.000000000000000000e+00,1.921416791300000071e+01,-1.567069464000000067e+01,0.000000000000000000e+00,1.567069464000000067e+01
3.123207507500000091e+00,-1.920242905499999964e+01,0.000000000000000000e+00,1.920242905499999964e+01,-1.585982891699999975e+01,0.000000000000000000e+00,1.585982891699999975e+01
3.143227427400000273e+00,-1.907170849199999907e+01,0.000000000000000000e+00,1.907170849199999907e+01,-1.598532105600000008e+01,0.000000000000000000e+00,1.598532105600000008e+01
